Category,Stable Filename,Original Filename,Source Record,Term / Unit,Description,Alt Text,Size Bytes,Width Pixels,Height Pixels,SHA-256
Puzzle Master,puzzle/word-search-master.png,unnamed (57).png,Puzzle,Interactive word search,Published 20 × 20 BMX word-search grid with the official 17-term list.,BMX history word-search puzzle with a 20 by 20 letter grid and 17 listed terms,338981,1080,718,64f2c032e384ec22aa6513d43a5455e9eae58d134cbedaee2e653e99256883cf
Page Capture,page-captures/page-001-nora-profile.png,2026-07-19_12-46-06.png,Source 001,NORA,"Section capture of the NORA learning page, including image, title, and supplied profile text.",Page capture for the NORA word-search learning entry,617537,1219,750,96e4b5480639a8a26ffd446ca5a47be6fbc0167306f87e2bcda4800a9be798ed
Source Image,source-images/source-001-nora-greg-hill-trophies.png,unnamed (58).png,Source 001,NORA,Greg Hill stands with a GT BMX bicycle while holding two trophy cups in a vintage promotional image.,Greg Hill posing with a GT BMX bike and two trophy cups in a vintage NORA Cup promotional image,1040633,954,1080,b2e7a8bea648e242673576ea9fb9afb85e8c6438eb65d10c44fb8886dc26f710
Page Capture,page-captures/page-002-encinas-profile.png,2026-07-19_12-49-48.png,Source 002,Encinas,"Section capture of the Encinas learning page, including image, title, and supplied profile text.",Page capture for the Encinas word-search learning entry,1841583,1796,1134,47e0bcb2f79bb85e5c6ca602e54e12151be2b63f17260204331adebc1508fdcc
Source Image,source-images/source-002-bobby-encinas-racing.png,unnamed (59).png,Source 002,Encinas,A BMX racer in blue-and-gray gear is airborne beside stacked tires on an outdoor dirt course.,Bobby Encinas airborne in blue-and-gray BMX gear beside stacked tires on an outdoor dirt course,1895528,954,1080,fa9ae9fcf65235df676826f0ba66c68187e7fc588a68b20f4b1b37ccdef5bafc
Page Capture,page-captures/page-003-thomsen-profile.png,2026-07-19_12-53-59.png,Source 003,Thomsen,"Section capture of the Thomsen learning page, including image, title, and supplied profile text.",Page capture for the Thomsen word-search learning entry,1669279,1810,1052,d7ad88fec9eae03b4c44f4b6dbdb0475b126f0e1e02360e7e0a32835a6987866
Source Image,source-images/source-003-stu-thomsen-bike-team.png,unnamed (60).png,Source 003,Thomsen,Two uniformed bicycle officers pose with mountain bikes beneath trees on an outdoor trail.,Two uniformed bicycle officers posing with mountain bikes on a wooded outdoor trail,1771208,954,1080,695972c8839d2e7568c48891adae6573b31620f16c201ce8e3b4af790265e4fc
Page Capture,page-captures/page-004-patterson-profile.png,2026-07-19_12-56-25.png,Source 004,Patterson,"Section capture of the Patterson learning page, including image, title, and supplied profile text.",Page capture for the Patterson word-search learning entry,642494,1791,1043,53c3daa3da9c6fab5e0ea69152737d76feed725cf6b1426004b84703af1df958
Source Image,source-images/source-004-patterson-2025-parts.png,unnamed (61).png,Source 004,Patterson,"A Patterson product page advertises 2025 handlebars, laid-back and straight seatposts, and colored seatpost clamps.","Patterson BMX product display featuring 2025 handlebars, seatposts, and colored seatpost clamps",489455,954,1080,f222e0c3c60fdba41e44d17badaa68e677901c495a6c9b1c044897116128d433
Page Capture,page-captures/page-005-hill-profile.png,2026-07-19_12-58-11.png,Source 005,Hill,"Section capture of the Hill learning page, including image, title, and supplied profile text.",Page capture for the Hill word-search learning entry,997211,1800,1043,deb9e8e45f768372569890f7f243e12c4d7a0611358406cab18591e0de3a89bc
Source Image,source-images/source-005-greg-hill-bmx-portrait.png,unnamed (62).png,Source 005,Hill,Greg Hill poses with a BMX bicycle while wearing race gear in a vintage portrait-style image.,Greg Hill posed with a BMX bike in race gear in a vintage portrait image,734512,954,1080,32c1ca40fb8d1c85358046aa38fe6af71edab1b91e5a8101cb196eb80e3ce9fa
Page Capture,page-captures/page-006-miranda-profile.png,2026-07-19_15-40-49.png,Source 006,Miranda,"Section capture of the Miranda learning page, including image, title, and supplied profile text.",Page capture for the Miranda word-search learning entry,1471333,1818,1084,7f6eb1f071ea6ad4a22f300b45a2161a1cf1db633d2bb587773a7ba2785242e7
Source Image,source-images/source-006-mike-miranda-hutch-factory-team.png,unnamed (63).png,Source 006,Miranda,A mustached BMX rider wears a Hutch Factory Team jersey marked “MIKE” and holds a full-face helmet against a blue background.,Mustached BMX rider wearing a Hutch Factory Team jersey marked MIKE and holding a full-face helmet,943883,954,1080,02abff30eb25d9f1c2a9b5dc3d22ae1a511d2fab799faabd8688c7a0722689b8
Page Capture,page-captures/page-007-brackens-profile.png,2026-07-19_15-42-42.png,Source 007,Brackens,"Section capture of the Brackens learning page, including image, title, and supplied profile text.",Page capture for the Brackens word-search learning entry,1776641,1805,1038,eb9bdf28d96b6269ca4f99e050a919021f74977a5a5fb435335d0d71c419f214
Source Image,source-images/source-007-tommy-brackens-gt-advertisement.png,unnamed (65).png,Source 007,Brackens,Tommy Brackens smiles in yellow-and-blue GT racing gear beside a white GT Pro Series BMX bicycle in a vintage advertisement.,Tommy Brackens in yellow and blue GT racing gear posing beside a white GT Pro Series BMX bike in a vintage advertisement,1863741,954,1080,ad85ad65645b72657e2da9ba687928e105c0a74161827093c86e77a6c89f28b0
Page Capture,page-captures/page-008-loncarevich-profile.png,2026-07-19_15-46-36.png,Source 008,Loncarevich,"Section capture of the Loncarevich learning page, including image, title, and supplied profile text.",Page capture for the Loncarevich word-search learning entry,1293823,1809,1139,ce38dae91f9b8bb2ea62a89a7e69e7c89e68eb068c8a93abedafcb1b440955ea
Source Image,source-images/source-008-pete-loncarevich-haro-advertisement.png,unnamed (66).png,Source 008,Loncarevich,Pete Loncarevich poses beside a Haro Group 1 BMX bicycle in a vintage Haro advertisement against a red studio background.,Pete Pistol Pete Loncarevich in a vintage Haro advertisement standing beside a Haro Group 1 BMX bike,863300,954,1080,0c54b9d8cf29e43c77d105bfcfbb24eda5bc22f185eb97dff4b8af7335bab657
Page Capture,page-captures/page-009-ellis-profile.png,2026-07-19_15-48-11.png,Source 009,Ellis,"Section capture of the Ellis learning page, including image, title, and supplied profile text.",Page capture for the Ellis word-search learning entry,1436103,1797,1031,526d5a351371cf1ed258beb07965dcca838ec21cb657e8b0102eb8098c6c886e
Source Image,source-images/source-009-gary-ellis-gt-racing.png,unnamed (67).png,Source 009,Ellis,Gary Ellis poses behind a GT BMX racing bicycle in a vintage black-and-white race photograph.,Gary Ellis posed with a GT BMX race bike in a vintage black-and-white racing photograph,899519,954,1080,581873ae9209d8269c75e2b4f3fef03e9382a6607395228804cc05ed3e5902d7
Page Capture,page-captures/page-010-gt-profile.png,2026-07-19_15-50-10.png,Source 011,GT,"Section capture of the GT learning page, including image, title, and supplied profile text.",Page capture for the GT word-search learning entry,1788488,1814,1116,af7836468af51a49867ebbb96f058371706906d9a35768b72f5590639691397a
Source Image,source-images/source-010-gary-turner-gt-jr-frame-set.png,unnamed (68).png,Source 011,GT,A vintage printed feature shows Gary Turner behind a BMX bicycle built with a GT JR frame set in a workshop filled with bicycle frames.,Vintage GT JR frame-set feature showing Gary Turner behind a BMX bicycle in a workshop filled with frames,2358664,1080,1070,f31e0c07409d03c92cbb45ab296d3d93750af5015ce9f8b86348c5e581452cbe
Page Capture,page-captures/page-011-redline-profile.png,2026-07-19_15-51-58.png,Source 012,Redline,"Section capture of the Redline learning page, including image, title, and supplied profile text.",Page capture for the Redline word-search learning entry,1304856,1828,958,da52ef06427fdfda7388383a443b37207c579c13bdfdd2b8ee69c2e271a6d47e
Source Image,source-images/source-011-redline-rl20-pro-styler-advertisement.png,unnamed (69).png,Source 012,Redline,A vintage Redline advertisement reads “REDLINE JUST GOT TRICKIER” and features an RL-20 Pro-Styler freestyle bicycle and rider.,Vintage Redline BMX advertisement reading Redline Just Got Trickier featuring an RL-20 Pro-Styler freestyle bike and rider,1608708,1080,1070,55ccd4d215ad8b3eba858ff467a86fbc862a4632a0325fdaccd01737d1585fc4
Page Capture,page-captures/page-012-diamondback-profile.png,2026-07-19_15-53-48.png,Source 013,Diamondback,"Section capture of the Diamondback learning page, including image, title, and supplied profile text.",Page capture for the Diamondback word-search learning entry,1557281,1813,1214,d8c1be177135b63004d97dc28a81cfc0e1b321f5fa6016e942dd0c8e05bb3c6a
Source Image,source-images/source-012-diamond-back-heavy-traffic-advertisement.png,unnamed (71).png,Source 013,Diamondback,A vintage Diamond Back advertisement reads “LITE’N UP FOR HEAVY TRAFFIC” and shows BMX team riders over a freeway-traffic background.,Vintage Diamond Back BMX advertisement reading Lite’n Up for Heavy Traffic featuring team riders and Turbo Lite product promotion,1875368,1080,1070,504d9eb6493923958a7c54813ba381d1b89fb68fa2bd2764d5088839bd1f860b
Page Capture,page-captures/page-013-mongoose-profile.png,2026-07-19_15-57-17.png,Source 014,Mongoose,"Section capture of the Mongoose learning page, including image, title, and supplied profile text.",Page capture for the Mongoose word-search learning entry,991637,1814,928,48865d5f7037b855a3d874276cc42bb1bc40b747f7283938014e95e7796ad9fa
