date_or_status,book_unit,event,primary_source
2026-04-04,Chapter 1,Sugar Cayne inspiration and decision to buy,source/facebook/ch01-2026-04-04-sugar-cayne-inspiration.png
2026-04-11,Chapter 1,Damaged shipping box arrival,source/facebook/ch01-2026-04-11-damaged-box-arrival.png
2026-04-15,Chapter 2,Box brought inside the archive space,source/facebook/ch02-2026-04-15-box-brought-inside.png
2026-04-20,Chapter 2,Box opened and stock bike laid out,source/facebook/ch02-2026-04-20-box-opened.png
2026-04-21,Chapter 3,Bike placed on repair stand,source/facebook/ch03-2026-04-21-bike-on-stand.png
2026-04-21,Chapter 3,Harry Leary seat and post installed,source/facebook/ch03-2026-04-21-harry-leary-seat-post.png
2026-04-21,Chapter 4,Progress and weight-reduction discussion,source/facebook/ch04-2026-04-21-progress-and-weight.png
2026-04-22,Chapter 4,Removed components documented,source/facebook/ch04-2026-04-22-removed-components.png
2026-04-22,Chapter 5,Morning-light evaluation,source/facebook/ch05-2026-04-22-morning-light.png
2026-04-22,Chapter 5,Archive stem cap introduced,source/facebook/ch05-2026-04-22-archive-stem-cap-arrives.png
2026-04-22,Chapter 6,Brake-pad adjustments,source/facebook/ch06-2026-04-22-brake-adjustments.png
2026-04-23,Chapter 6,Archive stem cap installed,source/facebook/ch06-2026-04-23-stem-cap-installed.png
2026-04-24,Chapter 6,Stock grips removed,source/facebook/ch06-2026-04-24-grip-removal.png
2026-04-24,Chapter 6,Harry-linked chain considered but not installed,source/facebook/ch06-2026-04-24-harry-linked-chain-considered.png
2026-04-25,Chapter 7,Operation DIRTWERX grip hardware cleaned and installed,source/facebook/ch07-2026-04-25-clamps-installed-dirtwerx-continuity.png
2026-04-25,Chapter 8,Bike taken outside to covered porch,source/facebook/ch08-2026-04-25-bike-on-covered-porch.png
2026-04-26,Chapter 8,First shakedown ride and street video,source/facebook/ch08-2026-04-26-first-shakedown-ride.png
2026-04-26,Chapter 9,One-week completed-build gallery,source/facebook/ch09-2026-04-26-one-week-build-gallery.png
2026-04-27,Chapter 9,Warwick Township pump-track advocacy update,source/facebook/ch09-2026-04-27-pump-track-advocacy.png
2026-04-28,Chapter 9,Headset spacer change,source/facebook/ch09-2026-04-28-headset-spacers.png
2026-04-30,Chapter 9,Replacement wheels and tires introduced,source/facebook/ch09-2026-04-30-wheels-and-tires-arrive.png
2026-05-02,Chapter 10,Tioga PowerBlocks installed and ridden,source/facebook/ch10-2026-05-02-tioga-powerblocks-installed.png
2026-05 (exact date unpreserved),Chapter 10,Sugar Cayne Bike of the Day submission completed,source/facebook/ch10-2026-05-bike-of-the-day-submission.png
2026-05-06,Afterword,Sugar Cayne article shared by Lititz BMX,source/sugar-cayne/facebook-share-2026-05-06.png
2026-06-07 / 2026-06-09,Postscript,Coleman Bike Park visit and related publication records; filming and publication dates kept separate,source/coleman-bike-park/facebook-2026-06-07-unboxing-post.png
