0:011 secondhey Damen Damen over here Damen Kyle how are you I'm good man I
0:088 secondscan't believe you found the perfect spot thanks for getting the logs going you have the fire blazing and everything oh you brought your daughter what's her
0:1616 secondsname this is Ann Marie I think it's so cool that you brought her down here I mean what a beautiful place it's just a
0:2323 secondsnice little Chill Spot and I appreciate you taking a ride down you got me out of my studio I've been painting like crazy oh no probably notice that you can see
0:3232 secondsthis pain on the side of my face I mean it gets all over I wasn't going to say anything to be honest with you hey that's art that is true it's not an
0:4040 secondsaccident Custom Design right there right I called you down here to I know we've talked a little bit about our past etc
0:4848 secondsetc but you've really been there since the beginning of this and you took a
0:5353 secondschance on I'm a big fan of practicing gratitude so thank
1:001 minutewelcome so I I'm getting ready to run another charity and this time it's with one of Harry L's really good friends
1:091 minute, 9 secondsfrom the modern era and okay my Prime era was 87 to 93 I
1:171 minute, 17 secondswas kind of trying to do the numbers oh good good years they were fun and I I was eight years old in
1:241 minute, 24 seconds1987 wow but we don't have insight into a lot of early years like you might and
1:331 minute, 33 secondsI was hoping that maybe you can give me a little insight in to Harry ly it what
1:401 minute, 40 secondsyou may or may not know of him so that I can better understand him to help run this new charity event well here's what I can tell you I
1:491 minute, 49 secondswas really fortunate I've been drawing radical Rick and the magazine and occasionally different
1:581 minute, 58 secondsadvertising agencies or bike companies would say Hey you know we need an illustration for our ad or we need a poster for this event and this little
2:072 minutes, 7 secondsadvertising agency in Long Beach called me and said hey you know what would you think about coming over and working with us full-time I said I don't know
2:142 minutes, 14 secondsanything about advertising I hate ads they wreck the magazines and they said well you know you might think about it
2:212 minutes, 21 secondsbecause it actually pays bills and I was such a you know Hustler freelancing sure I thought how nice that would be cuz I
2:292 minutes, 29 secondswas a young parent sure and and so I took my first job ever at an ad agency and one of their clients
2:352 minutes, 35 secondswas Diamondback oh okay and my role was that Executives who would talk with
2:422 minutes, 42 secondspeople who ran business and then our Executives would come in and go okay we need a really cool idea we need to do
2:492 minutes, 49 secondsthis or that help raise awareness of a bike or a product or just a brand advertising for Diamond Back In general
2:572 minutes, 57 secondswe also had kahara we had did SE for a while uh we had other non-bite categories but anyway so Harry I knew
3:053 minutes, 5 secondsHarry I knew I got to give you full disclosure here Kyle I might have met Harry two or three times and that's
3:123 minutes, 12 secondsmainly because I was in the either the opposes of BMX Plus or I was at this agency and my glimpse into the world of
3:213 minutes, 21 secondsBMX I had ridden bikes my whole life I love bikes I still have a ton of bikes everywhere but Harry lirry was one of
3:293 minutes, 29 secondsthese mythic characters you know think about it the career above bmxer is only about three or four years sure what was great about
3:373 minutes, 37 secondsHarry was he was on top for a long time the guy was a winner and he was the face of Diamondback so a lot of the ads we
3:443 minutes, 44 secondswould feature him I knew Harry's reputation you know everybody wants to create a Mythic icon for their brand
3:543 minutes, 54 secondsyeah and obviously Stu was the guy for huffy and throughout the years Harry was that face and then Eddie King started
4:034 minutes, 3 secondsgetting great you know was fast there's different phases but sure yeah Harry was on top for a long time yeah I'm trying to think of who else in any sport I
4:114 minutes, 11 secondsguess besides BMX would have that longevity in their sport I mean what 50 years is amazing and I have a hard time
4:204 minutes, 20 secondsimagining who beats that the other thing about Harry was he was iconic in that period so other manufacturers of
4:284 minutes, 28 secondsproducts non-diamond back they would co-sponsor him and as a result Harry Larry showed up in other people's ads
4:374 minutes, 37 secondsfor example joar pads for years we had joar pads I designed the logo I don't know if you remember joar at all they
4:454 minutes, 45 secondswere the pad to have for years and years before flight I slided a bunch of artwork to them and paint and then they
4:534 minutes, 53 secondsbecame ads and posters and I would always put Harry in them I remember one time there was this I I don't know whose
5:005 minutesconcept this was but it was a painting of a giant johar handlebar pad flying through the sky uhuh and on it was like
5:095 minutes, 9 secondsTim judge and Harry and trying to think who else was in it a bunch of the pros at that time and down below there was
5:185 minutes, 18 secondsguys sort of evil silhouetted BMXers shooting at them you know trying to knock him off the pad but you know joar
5:255 minutes, 25 secondswas always on top I have no idea what it meant but yeah so Harry had a residual power beyond a pop power he was
5:345 minutes, 34 secondsa celebrity in that world yeah recognizable I mean nobody looked like him he was as white as the driven snow
5:445 minutes, 44 secondswith his little you know tow head white hair kind of comb over he had and he was going bald when he was in his early 20s
5:525 minutes, 52 secondsyeah so he had a look that was instantly identifiable you have to realize that
5:595 minutes, 59 secondswhat's so old bikes were Diamond frame tubular Forks they were pretty much a parody product and you could argue that
6:076 minutes, 7 secondsmaybe some had better components or some had some proprietory it was a freestyle bike it might have the gyro head or
6:156 minutes, 15 secondssomething and you can some proprietory designs but pretty much what gave the brand the personality was the writers AB
6:246 minutes, 24 secondsoh my gosh they PA if you're were a kid you're a good writer your dream was to be a factory wrer yeah and then if you're a factory writer and you could
6:326 minutes, 32 secondsactually make money you'd be writing anyway right and then on top of that if you happen to be the poster child for
6:396 minutes, 39 secondsthat brand you were recognizable everywhere you went there might be other writers that they were on your heels but
6:476 minutes, 47 secondsobviously it went hand in hand that Harry was a tenacious competitive writer that won
6:566 minutes, 56 secondsand he became one of those fa is a darling in the BMX World darling isn't the right word I mean he was a bad dude
7:057 minutes, 5 secondshe was as competitive as they came as strong as an ax squatty wasn't very tall he was fiercely competitive I always
7:137 minutes, 13 secondskind of had that same thought that he was ridiculously strong right like I've seen pictures of him and I'm like oh my goodness I've heard his training
7:217 minutes, 21 secondsregiment or different versions of it and it's just tremendous but I forgot who said it recently in one of the podcasts
7:297 minutes, 29 secondsthat they said they believe he was underpowered and I said that's kind of the first time I've ever heard that one but I heard that wow he was part of I
