Artifact ID,Item Name,Category,Provenance/Significance,Source,Picture,Additional information,URL,Magazine,Date,Vol.,Issue
26.0001,Dirtyfest 3 Original Watercolor Painting,Art,"“Dirty Fest 3” is an original watercolor painting by Radical Rick creator Damian Fulton, created for the Dirty Fest vintage BMX event. The artwork celebrates old-school BMX culture and features numerous legendary riders alongside the Radical Rick character. As a one-of-one original piece of BMX artwork, the painting represents the influence of Fulton’s illustrations on the visual culture of BMX history.",Damian Fulton,,"The Dirty Fest events celebrate vintage BMX culture and bring together riders, collectors, and artists connected to the sport’s early era. Artwork by Damian Fulton—best known for the Radical Rick comic series—played a major role in shaping the visual identity of BMX in magazines, advertisements, and event graphics during the 1980s and beyond.",https://radicalrickbmx.com/collections/artwork/products/dirty-fest-3-original-painting?variant=42419167068246,,,,
26.0002,BMX Action Visor,Equipment,"This blue BMX Action Magazine visor is a piece of BMX promotional merchandise from the sport’s early years. Branded items like this were commonly worn by racers and fans at BMX tracks and events, reflecting the influence of BMX Action Magazine in shaping BMX culture during the late 1970s and 1980s.",Online,,"BMX Action Magazine was one of the most influential publications during BMX’s early growth, documenting races, riders, and equipment while helping popularize the sport throughout the late 1970s and 1980s. Promotional merchandise such as visors allowed fans and racers to show support for the magazine and the emerging BMX lifestyle.",https://bmxaction.org/,,,,
26.0003,Super BMX BMX World Championships Special Edition,Magazine,"This special edition of Super BMX Magazine was published to cover the 1983 BMX World Championships, capturing one of the early international competitions that helped expand BMX racing beyond the United States. Issues like this document the riders, races, and growing global reach of BMX during the early 1980s.",Online,,"Special issues such as this one documented major international events like the 1983 Jag BMX World Championships in Indianapolis, one of the early IBMXF-sanctioned world championship competitions that helped expand BMX racing internationally.",,,1983,,
26.0004,"Uni ""2"" Number Plate -1970s",Equipment ,"This UNI #2 number plate was owned by BMX racer Ken Pliska, representing a class ranking earned during organized BMX competition. Plates like this were used to identify riders during races and often reflected seasonal rankings or championship standings within local or regional BMX organizations. Artifacts such as this plate help document the competitive structure and rider achievements during the early years of BMX racing.",Ken Pliska,,"UNI Seat Company was one of the early manufacturers of BMX accessories during the 1970s and 1980s, producing seats, number plates, and related components. Number plates such as this one were essential race equipment, allowing officials and spectators to identify riders and their rankings during organized BMX competitions.",,,,,
26.0005,SE Racing 40 Years Collector Edition 1977 - 2017 ,Magazine,"This 2017 product catalog from SE Bikes was released to celebrate the company’s 40th anniversary, marking four decades since the brand’s founding by BMX pioneer Scot Breithaupt in 1977. The catalog highlights SE’s modern product line while honoring the brand’s long history and influence in the development of BMX culture and equipment.",Online,,"This 2017 product catalog from SE Bikes was released to celebrate the company’s 40th anniversary, marking four decades since the brand’s founding by BMX pioneer Scot Breithaupt in 1977. The catalog highlights SE’s modern product line while honoring the brand’s long history and influence in the development of BMX culture and equipment.",,,2017,,
26.0006,ELF Catalog,Catalog,"This catalog features products from ELF BMX, a BMX manufacturer founded in 1981 in Santa Ana, California. Known for its lightweight racing frames and innovative designs, ELF played a role in the evolution of BMX technology during the late 1980s and early 1990s. The name “ELF” stood for Extra Light Frames, reflecting the brand’s focus on performance-driven design.

Today the brand continues with renewed interest in its heritage designs, keeping the legacy of ELF BMX alive among collectors and racers.",Online,,"This catalog features products from ELF BMX, a BMX manufacturer founded in 1981 in Santa Ana, California. Known for its lightweight racing frames and innovative designs, ELF played a role in the evolution of BMX technology during the late 1980s and early 1990s. The name “ELF” stood for Extra Light Frames, reflecting the brand’s focus on performance-driven design.",,,,,
26.0007,Eddy King Lapel Pin,Memorabilia ,"This lapel pin represents BMX racer Eddy King, one of the standout riders of the late 1970s and early 1980s BMX racing era. King competed for several factory teams during his career and became known for his speed and consistency on the national BMX circuit. Memorabilia such as this pin reflects the early promotional culture of BMX racing and the recognition of influential riders within the sport.",Eddy King,,"This lapel pin represents BMX racer Eddy King, one of the standout riders of the late 1970s and early 1980s BMX racing era. King competed for several factory teams during his career and became known for his speed and consistency on the national BMX circuit. Memorabilia such as this pin reflects the early promotional culture of BMX racing and the recognition of influential riders within the sport.",,,,,
26.0008,BMX Action March 1988,Magazine,"This issue of BMX Action Magazine features coverage of the 1988 NORA Cup (Number One Rider Award) results, one of the most respected honors in BMX during the sport’s golden era. The NORA Cup recognized the top riders in racing and freestyle based on votes from the BMX community, making it a significant reflection of rider influence and popularity within the sport.",Online ,,"This issue of BMX Action Magazine features coverage of the 1988 NORA Cup (Number One Rider Award) results, one of the most respected honors in BMX during the sport’s golden era. The NORA Cup recognized the top riders in racing and freestyle based on votes from the BMX community, making it a significant reflection of rider influence and popularity within the sport.",,,,,
26.0009,2020 Arizona State Race 1st Place Tin,Awards,"This 1st Place award tin was presented at a 2020 Arizona State Championship Series race sanctioned by USA BMX. State Championship races are part of the regional competition structure in BMX racing, where riders earn points toward state rankings while competing for podium finishes and championship plates. Awards such as this tin represent the grassroots competitive spirit of BMX racing and the achievements of riders within their regional racing community.",Leary Locker,,The USA BMX State Championship Series allows riders to compete for points within their home state throughout the racing season. Strong finishes at these races contribute toward overall state rankings and the opportunity to earn official state championship number plates.,,,,,
26.0010,ABA 2003 Rule Book,Catalog,"This 2003 rulebook from the American Bicycle Association (ABA) outlines the official rules and regulations governing BMX racing during that season. The cover features BMX legend Harry Leary, recognizing his influence and legacy within the sport. Rulebooks such as this document the structure of organized BMX competition and provide insight into how the sport was regulated and administered during the early 2000s.",Online,,"This 2003 rulebook from the American Bicycle Association (ABA) outlines the official rules and regulations governing BMX racing during that season. The cover features BMX legend Harry Leary, recognizing his influence and legacy within the sport. Rulebooks such as this document the structure of organized BMX competition and provide insight into how the sport was regulated and administered during the early 2000s.",,,,,
