asset_id,episode,official_title,asset_type,stable_filename,original_library_filename,evidence_status,description
RR-EP01-PAGE,1,We Can Rebuild Him — The Puzzle Begins,page_capture,page-captures/episode-01-page-capture.png,2026-07-18_18-17-51.png,verified episode evidence,A full Lititz BMX campaign-page capture introducing Episode 1 and the #RebuildRadicalRick reconstruction puzzle.
RR-EP01-FB,1,We Can Rebuild Him — The Puzzle Begins,facebook_post_screenshot,source-images/episode-01-facebook-post.png,unnamed (3).png,verified episode evidence,"The original March 12, 2025 social-media post showing the headless Radical Rick figure from the rear."
RR-EP02-PAGE,2,A Different Angle,page_capture,page-captures/episode-02-page-capture.png,2026-07-18_18-30-04.png,verified episode evidence,"The Lititz BMX public archive page for Episode 2, A Different Angle."
RR-EP02-FB,2,A Different Angle,facebook_post_screenshot,source-images/episode-02-facebook-post.png,unnamed (4).png,verified episode evidence,"The original March 12, 2025 social-media post showing the detached Radical Rick lower-body component from underneath."
RR-EP03-PAGE,3,The Left Side,page_capture,page-captures/episode-03-page-capture.png,2026-07-18_18-34-06.png,verified episode evidence,"The Lititz BMX public archive page for Episode 3, The Left Side."
RR-EP03-FB,3,The Left Side,facebook_post_screenshot,source-images/episode-03-facebook-post.png,unnamed (5).png,verified episode evidence,"The original March 13, 2025 social-media post showing the left side of the headless Radical Rick body component."
RR-EP04-PAGE,4,The Other Side,page_capture,page-captures/episode-04-page-capture.png,2026-07-18_18-36-08.png,verified episode evidence,"The Lititz BMX public archive page for Episode 4, The Other Side."
RR-EP04-FB,4,The Other Side,facebook_post_screenshot,source-images/episode-04-facebook-post.png,unnamed (6).png,verified episode evidence,"The original March 14, 2025 social-media post showing the opposite side of the headless Radical Rick body component."
RR-EP05-PAGE,5,Forward Facing,page_capture,page-captures/episode-05-page-capture.png,2026-07-18_18-43-02.png,verified episode evidence,"The Lititz BMX public archive page for Episode 5, Forward Facing."
RR-EP05-FB,5,Forward Facing,facebook_post_screenshot,source-images/episode-05-facebook-post.png,unnamed (7).png,verified episode evidence,"The original March 15, 2025 social-media post showing the front of the headless Radical Rick body component."
RR-EP06-PAGE,6,Showing Some Love,page_capture,page-captures/episode-06-page-capture.png,2026-07-18_18-47-57.png,verified episode evidence,"The Lititz BMX public archive page for Episode 6, Showing Some Love."
RR-EP06-FB,6,Showing Some Love,facebook_post_screenshot,source-images/episode-06-facebook-post.png,unnamed (8).png,verified episode evidence,"The original March 16, 2025 social-media post showing the separate raised-hand arm component."
RR-EP07-PAGE,7,Two Pieces Joined,page_capture,page-captures/episode-07-page-capture.png,2026-07-18_18-50-05.png,verified episode evidence,"The Lititz BMX public archive page for Episode 7, Two Pieces Joined."
RR-EP07-FB,7,Two Pieces Joined,facebook_post_screenshot,source-images/episode-07-facebook-post.png,unnamed (9).png,verified episode evidence,"The original March 17, 2025 social-media post showing the arm attached to the Radical Rick torso."
RR-EP08-PAGE,8,Another Angle of the Build,page_capture,page-captures/episode-08-page-capture.png,2026-07-18_18-50-58.png,verified episode evidence,"The Lititz BMX public archive page for Episode 8, Another Angle of the Build."
RR-EP08-FB,8,Another Angle of the Build,facebook_post_screenshot,source-images/episode-08-facebook-post.png,unnamed (10).png,verified episode evidence,"The original March 18, 2025 social-media post showing the partially assembled Radical Rick figure from another angle."
